endpoint_template,method,base_url,description,source_files
/api/packages/,POST,Relative /api (same-origin/proxy),API used by dashboard feature,lib/api.ts
/api/pass/${userPassId}/history,GET,Relative /api (same-origin/proxy),API used by dashboard feature,app/components/PassRedemption/PassHistory.tsx
/api/pass/redeem/dashboard,POST,Relative /api (same-origin/proxy),Redeem pass from dashboard,app/components/PassRedemption/PassRedemption.tsx
/api/pass/validate,POST,Relative /api (same-origin/proxy),Validate pass before booking,app/components/PassRedemption/PassRedemption.tsx
/api/vendors/${vendorId}/subscription/,GET,Relative /api (same-origin/proxy),"Subscription status, orders, history",lib/api.ts
/api/vendors/${vendorId}/subscription/create-order,POST,Relative /api (same-origin/proxy),"Subscription status, orders, history",lib/api.ts
/api/vendors/${vendorId}/subscription/history,POST,Relative /api (same-origin/proxy),"Subscription status, orders, history",lib/api.ts
/api/vendors/${vendorId}/subscription/verify-payment,POST,Relative /api (same-origin/proxy),"Subscription status, orders, history",lib/api.ts
${API_BASE}/api/vendor/events/,POST,DASHBOARD_URL (via API_BASE),Tournament events management,lib/event-api.ts
${API_BASE}/api/vendor/events/${eventId},PATCH,DASHBOARD_URL (via API_BASE),Tournament events management,lib/event-api.ts
${API_BASE}/api/vendor/events/${eventId}/registrations,GET,DASHBOARD_URL (via API_BASE),Tournament events management,lib/event-api.ts
${API_BASE}/api/vendor/events/${eventId}/results/publish,POST,DASHBOARD_URL (via API_BASE),Tournament events management,lib/event-api.ts
${API_BASE}/api/vendor/events/${eventId}/teams,GET,DASHBOARD_URL (via API_BASE),Tournament events management,lib/event-api.ts
${API_BASE}/api/vendor/events/${qs},GET,DASHBOARD_URL (via API_BASE),Tournament events management,lib/event-api.ts
${API_BASE}/api/vendor/events/delete-banner,DELETE,DASHBOARD_URL (via API_BASE),Tournament events management,lib/event-api.ts
${API_BASE}/api/vendor/events/getJwt,POST,DASHBOARD_URL (via API_BASE),Tournament events management,lib/event-api.ts
${API_BASE}/api/vendor/events/upload-banner,POST,DASHBOARD_URL (via API_BASE),Tournament events management,lib/event-api.ts
${API_BASE}/api/vendor/reviews/,GET,DASHBOARD_URL (via API_BASE),Reviews moderation and replies,lib/review-api.ts
${API_BASE}/api/vendor/reviews/${reviewId}/response,PATCH,DASHBOARD_URL (via API_BASE),Reviews moderation and replies,lib/review-api.ts
${API_BASE}/api/vendor/reviews/${reviewId}/status,PATCH,DASHBOARD_URL (via API_BASE),Reviews moderation and replies,lib/review-api.ts
${API_BASE}/api/vendor/reviews/summary,GET,DASHBOARD_URL (via API_BASE),Reviews moderation and replies,lib/review-api.ts
${BOOKING_URL}/api/booking/${bookingId}/add-meals,POST,BOOKING_URL,API used by dashboard feature,app/components/mealsDetailmodal.tsx
${BOOKING_URL}/api/booking/${bookingId}/payment-summary,GET,BOOKING_URL,Fetch booking payment summary,app/components/current-slot.tsx | app/components/extraBookingOverlay.tsx
${BOOKING_URL}/api/booking/${bookingId}/settle-pending,POST,BOOKING_URL,Settle pending booking payment,app/components/extraBookingOverlay.tsx
${BOOKING_URL}/api/booking/private,POST,BOOKING_URL,Create private booking,app/components/PrivateBooking.tsx
${BOOKING_URL}/api/bookings/${bookingId},GET,BOOKING_URL,API used by dashboard feature,app/components/manage-booking.tsx | app/components/newSlot.tsx | app/components/test2.tsx
${BOOKING_URL}/api/bookings/cancel,POST,BOOKING_URL,Cancel booking,app/components/upcoming-booking.tsx
${BOOKING_URL}/api/bookings/no-show,POST,BOOKING_URL,Mark booking as no-show,app/components/upcoming-booking.tsx
${BOOKING_URL}/api/bookings/reject,POST,BOOKING_URL,Reject booking,app/components/manage-booking.tsx | app/components/newSlot.tsx | app/components/test2.tsx
${BOOKING_URL}/api/console-types/vendor/${resolvedVendorId}${cacheBust},UNKNOWN,BOOKING_URL,Fetch console type catalog,app/components/newSlot.tsx
${BOOKING_URL}/api/console-types/vendor/${vendorId},GET,BOOKING_URL,Fetch console type catalog,app/components/ConsoleSelector.tsx
${BOOKING_URL}/api/extraBooking,POST,BOOKING_URL,Add extra booking amount/slots,app/components/extraBookingOverlay.tsx
${BOOKING_URL}/api/getAllBooking/vendor/${vendorId}/${formattedDate}/,GET,BOOKING_URL,Fetch bookings list/history,app/components/manage-booking.tsx | app/components/newSlot.tsx
${BOOKING_URL}/api/getAllConsole/vendor/${resolvedVendorId}${cacheBust},UNKNOWN,BOOKING_URL,Fetch all consoles for vendor,app/components/newSlot.tsx
${BOOKING_URL}/api/getAllConsole/vendor/${vendorId},GET,BOOKING_URL,Fetch all consoles for vendor,app/components/ConsoleSelector.tsx | app/components/PrivateBooking.tsx | app/components/manage-booking.tsx | app/components/test.tsx
${BOOKING_URL}/api/getSlotList/vendor/${vendorId}/game/${consoleTypeId},GET,BOOKING_URL,API used by dashboard feature,app/components/rapid-bookings.tsx
${BOOKING_URL}/api/getSlots/vendor/${resolvedVendorId}/game/${gameConsole.id}/${formattedDate},UNKNOWN,BOOKING_URL,Fetch slot availability for console/date,app/components/newSlot.tsx
${BOOKING_URL}/api/getSlots/vendor/${vendorId}/game/${gameConsole.id}/${formattedDate},GET,BOOKING_URL,Fetch slot availability for console/date,app/components/test.tsx
${BOOKING_URL}/api/newBooking/vendor/${vendorId},POST,BOOKING_URL,Create new booking,app/components/BookingForm.tsx | app/components/newSlot.tsx | app/components/rapid-bookings.tsx | app/components/test.tsx
${BOOKING_URL}/api/pass/dashboard/otp/send,POST,BOOKING_URL,Send pass OTP,app/components/newSlot.tsx
${BOOKING_URL}/api/pass/dashboard/otp/verify,POST,BOOKING_URL,Verify pass OTP,app/components/newSlot.tsx
${BOOKING_URL}/api/pass/dashboard/valid-options?${params.toString()},GET,BOOKING_URL,Fetch valid pass options,app/components/newSlot.tsx
${BOOKING_URL}/api/pass/redeem/dashboard,POST,BOOKING_URL,Redeem pass from dashboard,app/components/BookingForm.tsx | app/components/newSlot.tsx
${BOOKING_URL}/api/pass/validate,POST,BOOKING_URL,Validate pass before booking,app/components/BookingForm.tsx
${BOOKING_URL}/api/pay-at-cafe/${endpoint},POST,BOOKING_URL,API used by dashboard feature,app/components/NotificationPanel.tsx
${BOOKING_URL}/api/pay-at-cafe/accept,POST,BOOKING_URL,Accept pay-at-cafe request,app/components/NotificationPanel.tsx
